oil,gas,water
2813.8264292950353,77647.27609642911,16362.70943587561
12120.919921272838,63324.62064411896,16947.21313455342
29439.051985674712,86508.2535343238,12204.64281901542
37026.318440648734,20003.591562634472,4059.844656328955
12123.632852948012,10471.688075459506,19508.383337175605
4341.911885069693,29440.17242858118,15154.858578215557
36807.332348666336,90046.7551814872,90.15396361727656
49059.980145803696,3074.132370497873,19946.26313069943
41788.43902870653,77553.33129017464,8093.371462723861
19321.51213698487,88609.67392078512,10733.692346677968
20803.917751600726,60265.91091485273,4587.6198802509525
39040.38935549099,76687.55320845859,5924.619133206564
42565.874280434204,4598.986521196946,16488.989540781717
9905.177562867457,56911.4412950259,10771.595645692505
49856.020352818734,26205.61072301203,17954.056308448406
25692.18269642768,14956.945661604215,14345.269519556783
7909.2498164790695,56918.06451573633,7842.87256447584
36836.98231287918,13393.583787599606,19108.01045469264
15214.811352768265,35814.97743243662,7795.118219320972
49798.831713956504,72628.28391053136,5853.93372181447
46134.98584279877,28105.019919552444,6973.721255399497
45632.18921159524,47347.84418290285,6052.004535362443
26226.311109394035,77611.32275037275,2410.2491723008557
39914.781721278465,82328.32811870043,13883.39396455305
38271.59478580886,61074.1467525182,10972.210432962289
39125.727191005986,14196.940251265833,15665.31950258065
39525.852875871635,50347.084767793334,14766.10749378883
49867.13038021144,4730.8784380083125,8956.888885374217
42954.31967856519,20946.186253682074,10660.153524596064
18143.963385669904,25596.400534507637,12825.456942518918
2167.7818145949377,63473.54275607883,17195.456646565734
21346.774246151628,95622.00123631513,19994.834544258356
27133.695676738127,26931.160011541022,10315.795405944895
48448.009785452065,37408.0219669457,13181.69305716247
41772.0467097162,23117.977844326066,1182.1109261826446
28095.040469238345,47815.60251344966,11983.767572853783
31238.063194979964,78414.51879927705,14382.303897642454
539.7461336362263,41244.18202893019,14618.58400914975
23123.10549681187,18434.52369555264,16946.070379062843
47051.13613269365,77166.8065921999,14986.68006371152
47268.0389797953,58724.741811841464,9150.489011456548
49291.16935808424,56666.956043982005,18777.58657567675
37760.50473693024,72141.45158220764,7173.67953699702
38612.32728477009,1951.3819387359965,3494.3155221439138
25211.944890243067,23592.850322514812,17452.187352376943
24933.50815836514,42556.29529749574,6325.873511969034
9098.127435582908,16836.29986719455,6758.722861786299
48170.366107407215,32707.797080187072,17656.757538195237
25430.502371166498,37524.482106016534,18371.531016824974
31270.67682103023,47305.852186742115,19620.642937896577
3151.928090056427,8785.709832845967,17776.941195740786
25084.784532764494,75143.11562620079,18289.19780211648
23597.249842466023,17362.599661039145,3434.4779147255667
3143.7461486791494,83343.51777685508,13324.185755989802
49538.73760194614,86492.1066102673,4764.222771926985
18722.404557428745,59376.91729030656,13686.912253271214
14641.741049151546,50250.98184109706,2448.618945973642
10211.713172918751,70414.11916992137,10781.440419680519
31625.583096410825,6624.394893911445,14162.043197500325
30813.422213676422,20459.669754975428,13463.38638404573
19357.187886901924,99970.30707296103,18994.45015717714
43490.612291479294,13563.102179845642,11343.035747628399
27151.723639063406,61888.22852892417,1577.445165267244
17016.497946358577,18005.45226085688,19162.94159654719
20305.272724446033,40693.46290821646,5816.5117594499025
26480.616139712383,10183.576990216658,17811.67060257282
6821.116609005829,4899.336265556609,1954.1871483155448
28591.48634941124,90956.95017708691,19959.47668018906
13548.178690884999,78697.92229502341,7240.889788584146
46523.2197930216,93255.2722756822,15913.059305061814
27867.507370218675,96028.87421184166,14136.680486675237
28456.2946845113,43128.48623081352,2240.2712796456735
20403.960186806467,72249.48836578155,3308.328243374954
2054.7355590670722,37159.807548852565,17418.159179595135
47054.96436287207,79874.02739670956,18822.702389097387
11896.47886514334,42158.331039867524,675.376703110806
4320.696701012455,36809.73192803215,17109.62208396501
17592.74886994337,24136.71923423294,18279.041012198817
26789.597394764096,3588.6817370846425,14428.581921188179
28688.09085233234,98274.74341836074,9390.293886303649
28118.58906867896,92728.1092641543,17127.17650182005
14936.591760456242,48223.642534371545,16857.603179144877
3694.630072140226,66987.74989434122,14028.268071317332
14730.619684020452,68417.57320603564,5607.824572632391
1610.0821103807396,59313.78769809441,12643.730491857126
15247.601991170734,94339.63404779985,11094.08413063121
40119.52930718655,38355.68633037507,10133.610130351673
291.1439968231233,39264.57837825862,9566.232664263965
14347.251756985746,24662.78496508859,7509.819935251771
37814.89175193872,86982.84952642833,9440.156545557948
1235.012578598821,60151.763438248454,17876.692672579782
33769.03532620636,3783.2703726450754,9756.675703249917
39878.734652209205,24835.301025594003,3259.4849227599275
5277.439839431713,69389.59074195159,10305.801079133425
2567.621123672059,25424.57405524753,6845.532711055537
44647.75001342098,82174.85363194221,6740.95374697885
30653.808667531128,71251.62394661106,12280.944712472914
46597.050912747174,47707.916280555015,6175.9187763853315
40784.10470302264,27812.66648784272,14405.875965197069
22590.458242773908,62577.74354577431,9847.730670234856
